key,en,zh_TW
gyro,Gyroscope,陀螺儀
six-axis,Six Axis,六軸
battery,Battery,電池
start_record,Start record All,開始記錄
stop_record,Stop record,結束記錄
recording,Recording,記錄中
record,Record,記錄
already_recording_with_seconds,Recording in progress: {} seconds,記錄進行中：{} 秒
already_recording_with_count,Recorded samples: {},已記錄資料筆數：{}
export_record_file_title,Choose the action type,選擇動作種類
export,Export,匯出
walk,Walk,走路
run,Run,跑步
sit_down,Sit Down,坐下
stand_up,Stand Up,起立
fall,Fall,跌倒
kick,Kick,踢擊
view,View,查看
today,Today,今天
seven_days,7 Days,7 天
thirty_days,30 Days,30 天
foot_pressure_distribution,Foot Pressure Distribution,足底壓力分布
forefoot,Forefoot,前腳掌
midfoot,Midfoot,足弓
heel,Heel,後跟
average_pressure,Average,平均壓力
today_status,Today Status,今日狀態
gait_stable,Gait Stable,步態穩定
today_pressure_summary,Pressure distribution is normal today with slightly higher right heel pressure,今日壓力分布正常，右腳後跟略高
stability_score,Stability score,穩定度分數
fall_risk,Fall risk,跌倒風險
wearing_status,Wearing status,穿戴狀態
wearing,Wearing,穿戴中
today_steps,Today steps,今日步數
outdoor_time,Outdoor time,戶外時間
duration_minutes,{} min,{} 分鐘
abnormal_events,Abnormal events,異常事件
device_battery,Device battery,裝置電量
pressure_analysis,Pressure Analysis,壓力分析
left_right_balance,Left-right balance,左右平衡
front_back_balance,Front-back balance,前後平衡
pressure_focus_area,Pressure focus area,壓力關注區域
gait_rhythm,Gait rhythm,步態節奏
slightly_right,Slightly right,稍微偏右
heel_biased,Heel-biased,後跟偏重
right_heel,Right heel,右後跟
normal,Normal,正常
notice,Notice,注意
stable,Stable,穩定
seven_day_stability_trend,7-Day Stability Trend,7 日穩定度趨勢
week,Week,週
month,Month,月
mon,Mon,週一
tue,Tue,週二
wed,Wed,週三
thu,Thu,週四
fri,Fri,週五
sat,Sat,週六
sun,Sun,週日
ai_care_suggestion,AI Care Suggestion,AI 照護建議
update_test,update_test,update_test,
pressure_visualization,Pressure Map,壓力可視化
time_ago_seconds,{} seconds ago,{} 秒前
time_ago_minutes,{} minutes ago,{} 分鐘前
time_ago_hours,{} hours ago,{} 小時前
time_ago_days,{} days ago,{} 天前
time_ago_over_7_days,over 7 days ago,7 天以上
foot_health_check_title,One-Minute Foot Health Check,一分鐘足壓健檢
foot_health_check_cta,Start Health Check,立即開始健檢
foot_health_check_last,Last {},上次 {}
foot_health_check_status_good,Good condition,狀態良好
foot_health_check_today_steps,{} steps today,今日 {} 步
score_unit,pts,分
daily_missions_title,Daily missions,每日任務
daily_missions_subtitle,{} left today — finish all for a +100 bonus,今天還有 {} 項，全部完成再 +100 加碼！
daily_missions_footer,Coins you earn redeem for shop vouchers and rewards,賺到的活力幣，可到商店換折價券與獎勵
mission_go,Go,去完成
mission_claimed,Claimed,已領取
mission_done,Done,已完成
mission_walk_title,Walk {} steps,走滿 {} 步
mission_balance_title,Complete a balance training,完成一次平衡訓練
mission_balance_subtitle,Play “Balance Penguin” to finish,玩「重心企鵝」即可達成
mission_balance_game,Balance Penguin,重心企鵝
mission_measure_title,Measure foot pressure once,量測一次足壓
my_devices,My devices,我的裝置
device_hero_caption,SilverSole Smart Insole · L / R,SilverSole 智慧鞋墊 · 左 / 右
signal_good,Connected · Strong signal,已連線 · 訊號良好
firmware_version,Firmware,韌體版本
firmware_detail,{} · Live sync {} Hz,{} · 即時同步 {} Hz
firmware_up_to_date,Up to date,已是最新
device_pair_new,Pair new device,配對新裝置
no_paired_devices,No devices paired yet,尚未配對任何裝置
shop_title,Vitality Coin Shop,活力幣商店
your_coins,Your vitality coins,你的活力幣
real_prize_quota,Real-prize quota used {}/{} NTD this month,本月真獎額度已用 {}/{} 元
shop_section_gacha,Daily gacha,每日扭蛋
shop_item_gacha,A random outfit shard — one spin a day,隨機造型碎片，每天回來轉一次
shop_section_prize,Real prizes · digital vouchers (NT$50 per month · PRO only),真獎 · 數位券（每月上限 NT$50 · PRO 限定）
shop_item_coffee,Convenience-store coffee voucher,超商咖啡券
shop_item_voucher,NT$50 shopping credit,購物金 50 元
shop_prize_value,Real prize · worth NT${},真獎 · 價值 NT${}
shop_section_skin,Outfits (also swappable for shards in the Garden),粗哥造型（也可以在菜園用碎片換）
shop_item_skin_sport,Sportswear outfit,運動服造型
shop_item_skin_chef,Chef outfit,廚師造型
shop_skin_wearable,Wearable as soon as you buy it,買了就能穿
device_name,Device name,裝置名稱
